plan_id,category,start_y_m,intent,n_burns,first_burn_t_s,max_dv_m_s,requires_intervention,reasons,binding_constraint
safe_near_y70_000,safe_near,70.0,safe,1,496.2,0.02522,0,,none
safe_near_y70_001,safe_near,70.0,safe,1,593.8,0.02756,0,,none
safe_near_y70_002,safe_near,70.0,safe,1,358.5,0.0246,0,,none
safe_near_y70_003,safe_near,70.0,safe,1,336.2,0.0356,0,,none
safe_near_y70_004,safe_near,70.0,safe,1,365.4,0.03628,0,,none
safe_near_y70_005,safe_near,70.0,safe,1,532.4,0.01797,0,,none
safe_near_y70_006,safe_near,70.0,safe,1,390.7,0.00585,0,,none
safe_near_y70_007,safe_near,70.0,safe,1,385.8,0.01371,0,,none
aggr_v_y70_008,aggr_v,70.0,aggressive_v,1,354.7,0.04885,0,,none
aggr_v_y70_009,aggr_v,70.0,aggressive_v,1,471.4,0.03139,0,,none
aggr_v_y70_010,aggr_v,70.0,aggressive_v,1,567.0,0.02818,0,,none
aggr_v_y70_011,aggr_v,70.0,aggressive_v,1,501.2,0.02697,0,,none
aggr_v_y70_012,aggr_v,70.0,aggressive_v,1,337.3,0.02467,0,,none
aggr_v_y70_013,aggr_v,70.0,aggressive_v,1,432.0,0.0336,0,,none
aggr_v_y70_014,aggr_v,70.0,aggressive_v,1,595.0,0.04416,0,,none
aggr_v_y70_015,aggr_v,70.0,aggressive_v,1,542.7,0.0325,0,,none
aggr_v_y70_016,aggr_v,70.0,aggressive_v,1,403.3,0.04067,0,,none
aggr_v_dv_y70_017,aggr_v_dv,70.0,aggressive_v_dv,1,323.0,0.7,1,dv_cap,dv_bound
aggr_v_dv_y70_018,aggr_v_dv,70.0,aggressive_v_dv,1,504.9,0.7,1,dv_cap,dv_bound
aggr_v_dv_y70_019,aggr_v_dv,70.0,aggressive_v_dv,1,513.1,0.7,1,dv_cap,dv_bound
aggr_v_dv_y70_020,aggr_v_dv,70.0,aggressive_v_dv,1,479.5,0.7,1,dv_cap,dv_bound
passive_twoburn_y70_021,passive_twoburn,70.0,aggressive_passive,2,547.5,0.04029,1,passive,v_bound
passive_twoburn_y70_022,passive_twoburn,70.0,aggressive_passive,2,390.4,0.0332,1,passive,v_bound
passive_twoburn_y70_023,passive_twoburn,70.0,aggressive_passive,2,439.2,0.03544,1,passive,v_bound
safe_near_y90_024,safe_near,90.0,safe,1,436.9,0.00535,0,,none
safe_near_y90_025,safe_near,90.0,safe,1,350.7,0.02086,0,,none
safe_near_y90_026,safe_near,90.0,safe,1,388.5,0.01918,0,,none
safe_near_y90_027,safe_near,90.0,safe,1,328.9,0.01525,0,,none
safe_near_y90_028,safe_near,90.0,safe,1,542.4,0.01592,0,,none
safe_near_y90_029,safe_near,90.0,safe,1,343.2,0.00585,0,,none
safe_near_y90_030,safe_near,90.0,safe,1,358.8,0.02139,0,,none
safe_near_y90_031,safe_near,90.0,safe,1,401.5,0.02523,0,,none
aggr_v_y90_032,aggr_v,90.0,aggressive_v,1,346.5,0.04712,0,,none
aggr_v_y90_033,aggr_v,90.0,aggressive_v,1,439.3,0.08981,0,,none
aggr_v_y90_034,aggr_v,90.0,aggressive_v,1,359.4,0.06466,0,,none
aggr_v_y90_035,aggr_v,90.0,aggressive_v,1,351.9,0.05989,0,,none
aggr_v_y90_036,aggr_v,90.0,aggressive_v,1,320.6,0.04678,0,,none
aggr_v_y90_037,aggr_v,90.0,aggressive_v,1,542.0,0.06386,0,,none
aggr_v_y90_038,aggr_v,90.0,aggressive_v,1,457.0,0.04397,0,,none
aggr_v_y90_039,aggr_v,90.0,aggressive_v,1,450.1,0.04519,0,,none
aggr_v_y90_040,aggr_v,90.0,aggressive_v,1,350.4,0.07036,0,,none
aggr_v_dv_y90_041,aggr_v_dv,90.0,aggressive_v_dv,1,576.6,0.7,1,dv_cap,dv_bound
aggr_v_dv_y90_042,aggr_v_dv,90.0,aggressive_v_dv,1,473.8,0.7,1,dv_cap,dv_bound
aggr_v_dv_y90_043,aggr_v_dv,90.0,aggressive_v_dv,1,560.0,0.7,1,dv_cap,dv_bound
