plan_id,category,start_y_m,n_burns,max_dv_m_s,V_post,requires_intervention,reasons,binding_constraint
brt_v_unsafe_y48_000,brt_v_unsafe,48.0,1,0.4006,-0.3274,1,post_V,v_bound
brt_v_unsafe_y48_001,brt_v_unsafe,48.0,1,0.45051,-0.4312,1,post_V,v_bound
brt_v_unsafe_y48_002,brt_v_unsafe,48.0,1,0.33941,-0.1576,1,post_V,v_bound
brt_v_unsafe_y48_003,brt_v_unsafe,48.0,1,0.20847,-0.2982,1,post_V,v_bound
brt_v_unsafe_y48_004,brt_v_unsafe,48.0,1,0.22941,-0.1406,1,post_V,v_bound
brt_v_unsafe_y48_005,brt_v_unsafe,48.0,1,0.37096,-0.4077,1,post_V,v_bound
brt_v_unsafe_y48_006,brt_v_unsafe,48.0,1,0.32378,-0.1509,1,post_V,v_bound
brt_v_unsafe_y48_007,brt_v_unsafe,48.0,1,0.33389,-0.3718,1,post_V,v_bound
brt_v_unsafe_y48_008,brt_v_unsafe,48.0,1,0.05971,-0.3264,1,post_V,v_bound
brt_v_unsafe_y48_009,brt_v_unsafe,48.0,1,0.0854,-0.3042,1,post_V,v_bound
brt_v_dv_y48_010,brt_v_dv,48.0,1,0.58041,-0.0657,1,dv_cap|post_V,v_and_dv
brt_v_dv_y48_011,brt_v_dv,48.0,1,0.63636,-0.0777,1,dv_cap|post_V,v_and_dv
brt_v_dv_y48_012,brt_v_dv,48.0,1,0.64052,-0.3067,1,dv_cap|post_V,v_and_dv
brt_v_dv_y48_013,brt_v_dv,48.0,1,0.56139,-0.2409,1,dv_cap|post_V,v_and_dv
brt_v_unsafe_y58_014,brt_v_unsafe,58.0,1,0.21824,-0.2105,1,post_V,v_bound
brt_v_unsafe_y58_015,brt_v_unsafe,58.0,1,0.42198,-0.1105,1,post_V,v_bound
brt_v_unsafe_y58_016,brt_v_unsafe,58.0,1,0.42438,-0.095,1,post_V,v_bound
brt_v_unsafe_y58_017,brt_v_unsafe,58.0,1,0.46625,-0.1099,1,post_V,v_bound
brt_v_unsafe_y58_018,brt_v_unsafe,58.0,1,0.42594,-0.0214,1,post_V,v_bound
brt_v_unsafe_y58_019,brt_v_unsafe,58.0,1,0.28327,-0.186,1,post_V,v_bound
brt_v_unsafe_y58_020,brt_v_unsafe,58.0,1,0.06259,-0.1939,1,post_V,v_bound
brt_v_unsafe_y58_021,brt_v_unsafe,58.0,1,0.37979,-0.0758,1,post_V,v_bound
brt_v_unsafe_y58_022,brt_v_unsafe,58.0,1,0.41051,-0.1012,1,post_V,v_bound
brt_v_unsafe_y58_023,brt_v_unsafe,58.0,1,0.41002,-0.1135,1,post_V,v_bound
brt_v_dv_y58_024,brt_v_dv,58.0,1,0.62218,-0.1183,1,dv_cap|post_V,v_and_dv
brt_v_dv_y58_025,brt_v_dv,58.0,1,0.67129,-0.0907,1,dv_cap|post_V,v_and_dv
brt_v_dv_y58_026,brt_v_dv,58.0,1,0.66281,-0.183,1,dv_cap|post_V,v_and_dv
brt_v_dv_y58_027,brt_v_dv,58.0,1,0.66277,-0.1119,1,dv_cap|post_V,v_and_dv
brt_v_unsafe_y65_028,brt_v_unsafe,65.0,1,0.08361,-0.0355,1,post_V,v_bound
brt_v_unsafe_y65_029,brt_v_unsafe,65.0,1,0.30588,-0.0527,1,post_V,v_bound
brt_v_unsafe_y65_030,brt_v_unsafe,65.0,1,0.2914,-0.054,1,post_V,v_bound
brt_v_unsafe_y65_031,brt_v_unsafe,65.0,1,0.28694,-0.0555,1,post_V,v_bound
brt_v_unsafe_y65_032,brt_v_unsafe,65.0,1,0.37443,-0.0354,1,post_V,v_bound
brt_v_unsafe_y65_033,brt_v_unsafe,65.0,1,0.40304,-0.031,1,post_V,v_bound
brt_v_unsafe_y65_034,brt_v_unsafe,65.0,1,0.12787,-0.0281,1,post_V,v_bound
brt_v_unsafe_y65_035,brt_v_unsafe,65.0,1,0.32958,-0.0157,1,post_V,v_bound
brt_v_unsafe_y65_036,brt_v_unsafe,65.0,1,0.36355,-0.0351,1,post_V,v_bound
brt_v_unsafe_y65_037,brt_v_unsafe,65.0,1,0.45067,-0.0539,1,post_V,v_bound
brt_v_dv_y65_038,brt_v_dv,65.0,1,0.56887,-0.052,1,dv_cap|post_V,v_and_dv
brt_v_dv_y65_039,brt_v_dv,65.0,1,0.5693,-0.054,1,dv_cap|post_V,v_and_dv
brt_v_dv_y65_040,brt_v_dv,65.0,1,0.59744,-0.0351,1,dv_cap|post_V,v_and_dv
brt_v_dv_y65_041,brt_v_dv,65.0,1,0.6417,-0.0538,1,dv_cap|post_V,v_and_dv
safe_brt_y58_042,safe_brt,58.0,1,0.0229,0.0719,0,,none
safe_brt_y58_043,safe_brt,58.0,1,0.02401,0.1117,0,,none
safe_brt_y58_044,safe_brt,58.0,1,0.03119,0.1286,0,,none
safe_brt_y58_045,safe_brt,58.0,1,0.01238,0.1239,0,,none
safe_brt_y58_046,safe_brt,58.0,1,0.00703,0.0381,0,,none
safe_brt_y58_047,safe_brt,58.0,1,0.02812,0.04,0,,none
safe_brt_y58_048,safe_brt,58.0,1,0.0344,0.1417,0,,none
safe_brt_y58_049,safe_brt,58.0,1,0.02671,0.0463,0,,none
brt_v_borderline_y58_050,brt_v_borderline,58.0,1,0.24863,0.0939,0,,none
brt_v_borderline_y58_051,brt_v_borderline,58.0,1,0.24012,0.0383,0,,none
brt_v_borderline_y58_052,brt_v_borderline,58.0,1,0.3006,0.1454,0,,none
brt_v_borderline_y58_053,brt_v_borderline,58.0,1,0.20791,0.145,0,,none
safe_brt_y65_054,safe_brt,65.0,1,0.01844,0.3229,0,,none
safe_brt_y65_055,safe_brt,65.0,1,0.03472,0.0571,0,,none
