plan_id,category,approach_angle,intent,n_burns,first_burn_t_s,total_dv_m_s,max_dv_m_s,requires_intervention,reasons,first_unsafe_step
safe_multi_along_track_000,safe_multi,along_track,safe,3,453.0,0.30369,0.14436,0,,
safe_multi_along_track_001,safe_multi,along_track,safe,2,392.4,0.0862,0.04899,0,,
safe_multi_along_track_002,safe_multi,along_track,safe,2,331.1,0.27549,0.14073,0,,
safe_multi_along_track_003,safe_multi,along_track,safe,3,335.3,0.37712,0.12643,0,,
safe_multi_along_track_004,safe_multi,along_track,safe,3,528.3,0.32201,0.13737,0,,
safe_single_along_track_005,safe_single,along_track,safe,1,323.2,0.11819,0.11819,0,,
safe_single_along_track_006,safe_single,along_track,safe,1,332.2,0.07884,0.07884,0,,
safe_single_along_track_007,safe_single,along_track,safe,1,516.7,0.03349,0.03349,0,,
aggr_intercept_along_track_008,aggr_intercept,along_track,aggressive,1,448.3,0.17514,0.17514,0,,
aggr_intercept_along_track_009,aggr_intercept,along_track,aggressive,1,529.1,0.22795,0.22795,0,,
aggr_intercept_along_track_010,aggr_intercept,along_track,aggressive,1,336.3,0.18194,0.18194,0,,
aggr_delayed_along_track_011,aggr_delayed,along_track,aggressive,2,346.3,0.36522,0.33904,0,,
aggr_delayed_along_track_012,aggr_delayed,along_track,aggressive,2,502.3,0.24745,0.2253,0,,
aggr_highbrake_along_track_013,aggr_highbrake,along_track,aggressive,1,303.1,0.37234,0.37234,0,,
aggr_highbrake_along_track_014,aggr_highbrake,along_track,aggressive,1,396.0,0.36996,0.36996,0,,
aggr_reckless_along_track_015,aggr_reckless,along_track,aggressive,1,404.4,0.93715,0.93715,1,dv_cap,0
safe_multi_oblique_016,safe_multi,oblique,safe,3,351.1,0.37848,0.13608,0,,
safe_multi_oblique_017,safe_multi,oblique,safe,2,445.0,0.09125,0.04982,0,,
safe_multi_oblique_018,safe_multi,oblique,safe,2,370.7,0.17302,0.11186,0,,
safe_multi_oblique_019,safe_multi,oblique,safe,2,517.2,0.25344,0.12836,0,,
safe_multi_oblique_020,safe_multi,oblique,safe,3,371.5,0.3915,0.15281,0,,
safe_single_oblique_021,safe_single,oblique,safe,1,331.0,0.07702,0.07702,0,,
safe_single_oblique_022,safe_single,oblique,safe,1,485.9,0.07817,0.07817,0,,
safe_single_oblique_023,safe_single,oblique,safe,1,318.1,0.09923,0.09923,0,,
aggr_intercept_oblique_024,aggr_intercept,oblique,aggressive,1,536.5,0.15778,0.15778,0,,
aggr_intercept_oblique_025,aggr_intercept,oblique,aggressive,1,394.4,0.22412,0.22412,0,,
aggr_intercept_oblique_026,aggr_intercept,oblique,aggressive,1,535.9,0.16709,0.16709,0,,
aggr_delayed_oblique_027,aggr_delayed,oblique,aggressive,2,387.1,0.23431,0.20935,0,,
aggr_delayed_oblique_028,aggr_delayed,oblique,aggressive,2,322.6,0.36727,0.31438,0,,
aggr_highbrake_oblique_029,aggr_highbrake,oblique,aggressive,1,325.4,0.59623,0.59623,1,dv_cap,0
aggr_highbrake_oblique_030,aggr_highbrake,oblique,aggressive,1,517.4,0.53216,0.53216,1,dv_cap,0
aggr_reckless_oblique_031,aggr_reckless,oblique,aggressive,1,396.1,0.76277,0.76277,1,dv_cap,0
safe_multi_radial_032,safe_multi,radial,safe,2,360.1,0.19197,0.13764,0,,
safe_multi_radial_033,safe_multi,radial,safe,2,417.3,0.30771,0.15796,0,,
safe_multi_radial_034,safe_multi,radial,safe,2,380.5,0.13283,0.07067,0,,
safe_multi_radial_035,safe_multi,radial,safe,2,523.3,0.15261,0.09103,0,,
safe_multi_radial_036,safe_multi,radial,safe,2,443.7,0.18301,0.11659,0,,
safe_single_radial_037,safe_single,radial,safe,1,540.0,0.1456,0.1456,0,,
safe_single_radial_038,safe_single,radial,safe,1,408.6,0.04832,0.04832,0,,
safe_single_radial_039,safe_single,radial,safe,1,530.4,0.11564,0.11564,0,,
aggr_intercept_radial_040,aggr_intercept,radial,aggressive,1,420.5,0.25266,0.25266,0,,
aggr_intercept_radial_041,aggr_intercept,radial,aggressive,1,496.8,0.25565,0.25565,0,,
aggr_intercept_radial_042,aggr_intercept,radial,aggressive,1,342.0,0.31737,0.31737,0,,
aggr_delayed_radial_043,aggr_delayed,radial,aggressive,2,396.4,0.34916,0.29331,0,,
aggr_delayed_radial_044,aggr_delayed,radial,aggressive,2,369.1,0.37346,0.34684,0,,
aggr_highbrake_radial_045,aggr_highbrake,radial,aggressive,1,418.8,0.65327,0.65327,1,dv_cap,0
aggr_highbrake_radial_046,aggr_highbrake,radial,aggressive,1,382.2,0.51616,0.51616,1,dv_cap,0
aggr_reckless_radial_047,aggr_reckless,radial,aggressive,1,452.7,0.83295,0.83295,1,dv_cap,0
safe_multi_out_of_plane_048,safe_multi,out_of_plane,safe,3,428.8,0.21858,0.08266,0,,
safe_multi_out_of_plane_049,safe_multi,out_of_plane,safe,2,416.8,0.2635,0.13711,0,,
safe_multi_out_of_plane_050,safe_multi,out_of_plane,safe,2,390.5,0.26068,0.17165,0,,
safe_multi_out_of_plane_051,safe_multi,out_of_plane,safe,2,345.3,0.12869,0.06572,0,,
safe_multi_out_of_plane_052,safe_multi,out_of_plane,safe,2,442.4,0.11145,0.06282,0,,
safe_single_out_of_plane_053,safe_single,out_of_plane,safe,1,467.8,0.05034,0.05034,0,,
safe_single_out_of_plane_054,safe_single,out_of_plane,safe,1,492.6,0.06523,0.06523,0,,
safe_single_out_of_plane_055,safe_single,out_of_plane,safe,1,385.8,0.14303,0.14303,0,,
aggr_intercept_out_of_plane_056,aggr_intercept,out_of_plane,aggressive,1,390.1,0.20716,0.20716,0,,
aggr_intercept_out_of_plane_057,aggr_intercept,out_of_plane,aggressive,1,486.2,0.19391,0.19391,0,,
aggr_intercept_out_of_plane_058,aggr_intercept,out_of_plane,aggressive,1,348.6,0.36168,0.36168,0,,
aggr_delayed_out_of_plane_059,aggr_delayed,out_of_plane,aggressive,2,302.7,0.34322,0.32108,0,,
