plan_id,category,approach_angle,urgency,n_burns,total_dv_m_s,max_dv_m_s,expected_intervention,intervention_reasons,first_unsafe_step,min_sep_any_step_m
conservative_3burn_along_track_low_000,conservative_3burn,along_track,low,3,0.06655,0.02489,0,,,3126.1
single_then_coast_along_track_low_001,single_then_coast,along_track,low,1,0.10181,0.10181,0,,,3076.3
glideslope_along_track_low_002,glideslope,along_track,low,2,0.10471,0.09213,0,,,3097.3
conservative_3burn_along_track_med_003,conservative_3burn,along_track,med,3,0.17381,0.06985,0,,,3013.9
single_then_coast_along_track_med_004,single_then_coast,along_track,med,1,0.11737,0.11737,0,,,3068.9
glideslope_along_track_med_005,glideslope,along_track,med,2,0.12699,0.10945,0,,,3073.7
conservative_3burn_along_track_high_006,conservative_3burn,along_track,high,3,0.09125,0.037,0,,,3099.2
single_then_coast_along_track_high_007,single_then_coast,along_track,high,1,0.81703,0.81703,1,dv_cap,0,2426.6
glideslope_along_track_high_008,glideslope,along_track,high,2,0.1244,0.09274,0,,,3057.7
conservative_3burn_radial_low_009,conservative_3burn,radial,low,4,0.22831,0.0641,0,,,3187.6
single_then_coast_radial_low_010,single_then_coast,radial,low,1,0.17472,0.17472,0,,,3190.8
glideslope_radial_low_011,glideslope,radial,low,2,0.07584,0.07333,0,,,3193.9
conservative_3burn_radial_med_012,conservative_3burn,radial,med,3,0.15042,0.05851,0,,,3195.1
single_then_coast_radial_med_013,single_then_coast,radial,med,1,0.17401,0.17401,0,,,3188.6
glideslope_radial_med_014,glideslope,radial,med,2,0.10743,0.10542,0,,,3192.1
conservative_3burn_radial_high_015,conservative_3burn,radial,high,3,0.14588,0.05063,0,,,3188.6
single_then_coast_radial_high_016,single_then_coast,radial,high,1,1.91518,1.91518,1,dv_cap,0,3189.9
glideslope_radial_high_017,glideslope,radial,high,2,0.09646,0.07678,0,,,3192.7
conservative_3burn_oblique_low_018,conservative_3burn,oblique,low,3,0.0873,0.03112,0,,,3150.5
single_then_coast_oblique_low_019,single_then_coast,oblique,low,1,0.15725,0.15725,0,,,3087.5
glideslope_oblique_low_020,glideslope,oblique,low,2,0.08057,0.07756,0,,,3144.0
conservative_3burn_oblique_med_021,conservative_3burn,oblique,med,4,0.21538,0.06968,0,,,3089.6
single_then_coast_oblique_med_022,single_then_coast,oblique,med,1,0.14289,0.14289,0,,,3141.7
glideslope_oblique_med_023,glideslope,oblique,med,2,0.05889,0.05415,0,,,3155.1
conservative_3burn_oblique_high_024,conservative_3burn,oblique,high,3,0.11091,0.03971,0,,,3146.1
single_then_coast_oblique_high_025,single_then_coast,oblique,high,1,1.37756,1.37756,1,dv_cap,0,2674.9
glideslope_oblique_high_026,glideslope,oblique,high,2,0.0873,0.07109,0,,,3142.9
conservative_3burn_out_of_plane_low_027,conservative_3burn,out_of_plane,low,3,0.1521,0.0528,0,,,3060.0
single_then_coast_out_of_plane_low_028,single_then_coast,out_of_plane,low,1,0.16222,0.16222,0,,,3046.7
glideslope_out_of_plane_low_029,glideslope,out_of_plane,low,2,0.07907,0.04863,0,,,3131.1
conservative_3burn_out_of_plane_med_030,conservative_3burn,out_of_plane,med,3,0.13941,0.05665,0,,,3076.4
single_then_coast_out_of_plane_med_031,single_then_coast,out_of_plane,med,1,0.17127,0.17127,0,,,3061.1
glideslope_out_of_plane_med_032,glideslope,out_of_plane,med,2,0.07718,0.07338,0,,,3126.5
conservative_3burn_out_of_plane_high_033,conservative_3burn,out_of_plane,high,3,0.0705,0.02563,0,,,3136.8
single_then_coast_out_of_plane_high_034,single_then_coast,out_of_plane,high,1,1.53256,1.53256,1,dv_cap,0,2134.3
glideslope_out_of_plane_high_035,glideslope,out_of_plane,high,2,0.09381,0.08513,0,,,3107.8
fast_min_time_along_track_high_036,fast_min_time,along_track,high,2,14.08517,13.1808,1,dv_cap,0,36.9
fast_min_time_along_track_high_037,fast_min_time,along_track,high,1,7.47699,7.47699,1,dv_cap,0,94.8
fast_min_time_along_track_high_038,fast_min_time,along_track,high,2,5.17943,4.86188,1,brt|dv_cap,0,27.6
fast_min_time_along_track_med_039,fast_min_time,along_track,med,1,2.72193,2.72193,1,dv_cap,0,224.1
fast_min_time_along_track_med_040,fast_min_time,along_track,med,2,1.67744,1.57455,1,dv_cap,0,266.0
fast_min_time_oblique_high_041,fast_min_time,oblique,high,1,12.1203,12.1203,1,dv_cap,0,77.4
fast_min_time_oblique_high_042,fast_min_time,oblique,high,1,8.29955,8.29955,1,dv_cap,0,44.0
fast_min_time_oblique_high_043,fast_min_time,oblique,high,1,4.01724,4.01724,1,dv_cap,0,236.5
fast_min_time_oblique_med_044,fast_min_time,oblique,med,2,2.90065,2.79833,1,dv_cap,0,143.1
fast_min_time_oblique_med_045,fast_min_time,oblique,med,2,1.985,1.84483,1,dv_cap,0,51.0
fast_min_time_radial_high_046,fast_min_time,radial,high,2,13.8798,12.62521,1,dv_cap,0,40.8
fast_min_time_radial_high_047,fast_min_time,radial,high,2,7.92357,7.60913,1,dv_cap,0,66.3
