frame,time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,sep_km,earth_koz_violation_chief,earth_koz_violation_deputy,inner_koz_shape,inner_koz_inside,brt_value,brt_unsafe
0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,3.2,0,0,5056.790123456791,0,5352.800950270435,0
1,30.853468173623487,0.0,3200.0,0.0,0.0,0.0,0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
2,61.70693634724697,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
3,92.56040452087046,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
4,123.41387269449395,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
5,154.26734086811743,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
6,185.12080904174093,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
7,215.9742772153644,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
8,246.8277453889879,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
9,277.6812135626114,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
10,308.53468173623486,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
11,339.3881499098583,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
12,370.24161808348185,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
13,401.0950862571053,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
14,431.9485544307288,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
15,462.8020226043523,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
16,493.6554907779758,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
17,524.5089589515993,0.0,3200.0,0.0,0.0,0.0,0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
18,555.3624271252228,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
19,586.2158952988462,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
20,617.0693634724697,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
21,647.9228316460932,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000004722,0,0,5056.790123456791,0,5352.800950270435,0
22,678.7762998197167,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998527,0,0,5056.790123456791,0,5352.800950270435,0
